Contact ID,CustomerID,Firm ID,Office ID,Channel,Sub channel,Firm name,
0044697,223,1140415,11404151124,Independent Dealer,IBD,Lincoln Financial Securities Corp.,
0044863,224,1567450,15674500981,National Broker-Dealer,NACS,Merrill Lynch,
0044881,225,9000166,90001660147,Independent Dealer,NACS,Wells Fargo Advisors,
0044923,226,9000166,90001660386,Independent Dealer,NACS,Wells Fargo Advisors,
0045221,227,1948520,17993100989,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0045607,228,0001194,10761183754890656960,Independent Dealer,IBD,"Ameriprise Financial Services, Inc.",
0045769,229,9000166,90001663777,Independent Dealer,NACS,Wells Fargo Advisors,
0046132,230,1567450,15674500316,National Broker-Dealer,NACS,Merrill Lynch,
0046222,231,1948520,19485201419,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0046422,232,0001194,00011943180,Independent Dealer,IBD,"Ameriprise Financial Services, Inc.",
0046603,233,0022885,85102141836103373553,Independent Dealer,IBD,LPL Financial LLC,
0046694,234,9000166,90001660717,Independent Dealer,NACS,Wells Fargo Advisors,
0047229,235,1567450,15674502442,National Broker-Dealer,NACS,Merrill Lynch,
0047257,236,1567450,85102152923805430330,National Broker-Dealer,NACS,Merrill Lynch,
0047312,237,1816025,18160251069,Independent Dealer,IBD,"Stifel, Nicolaus & Co., Inc.",
0047343,238,1036815,10368151469,Independent Dealer,IBD,"Woodbury Financial Services, Inc.",
0047375,239,1164305,10751181163770162420,Independent Dealer,IBD,"Cuna Brokerage Services, Inc.",
0047433,240,1688552,85101152293608716061,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0047567,241,1173905,11739050016,Independent Dealer,IBD,Davenport & Co. LLC,
0047865,242,1735461,17354610449,Independent Dealer,IBD,Raymond James & Associates Inc.,
0047976,243,1948520,17993101527,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0048011,244,1581750,15817500043,Independent Dealer,IBD,Moors & Cabot Inc.,
0048183,245,1735461,17354610447,Independent Dealer,IBD,Raymond James & Associates Inc.,
0048268,246,9000166,90001660669,Independent Dealer,NACS,Wells Fargo Advisors,
0048311,247,9000166,90001663563,Independent Dealer,NACS,Wells Fargo Advisors,
0048338,248,1171547,85102131444833634762,Independent Dealer,NACS,RBC Wealth Management,
0048699,249,1567450,15674501096,National Broker-Dealer,NACS,Merrill Lynch,
0048739,250,1567450,15674502176,National Broker-Dealer,NACS,Merrill Lynch,
0048905,251,1567450,15674501016,National Broker-Dealer,NACS,Merrill Lynch,
0049708,252,1948520,19485200197,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0049714,253,1171547,11715471029,Independent Dealer,NACS,RBC Wealth Management,
0049899,254,1424101,14241010729,Independent Dealer,IBD,Investacorp Inc.,
0050052,255,0024898,85101131995138777067,Dual,IBD,Next Financial Group,
0050295,256,1735461,85202111795364786737,Independent Dealer,IBD,Raymond James & Associates Inc.,
0050320,257,0022885,00228850317,Independent Dealer,IBD,LPL Financial LLC,
0050366,258,0002096,00020962875,Independent Dealer,IBD,"Raymond James Financial Services, Inc.",
0050493,259,1776450,17764500032,Independent Dealer,IBD,"BB&T Securities, LLC",
0050701,260,1735461,85201170724185599047,Independent Dealer,IBD,Raymond James & Associates Inc.,
0051198,261,1457652,14576520760,Independent Dealer,IBD,Janney Montgomery Scott LLC,
0051382,262,1688552,16885520939,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0051462,263,9000166,90001660584,Independent Dealer,NACS,Wells Fargo Advisors,
0051977,264,9000166,85202120463261115810,Independent Dealer,NACS,Wells Fargo Advisors,
0052029,265,1171547,11715470529,Independent Dealer,NACS,RBC Wealth Management,
0052031,266,1273255,12732550312,Independent Dealer,NACS,Oppenheimer & Co. Inc.,
0052124,267,0022885,85102112195797480033,Independent Dealer,IBD,LPL Financial LLC,
0052688,268,1174280,11622450023,Independent Dealer,IBD,D.A. Davidson & Co. Inc.,
0052766,269,1948520,19485201099,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0052776,270,1948520,19485201315,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0052826,271,0001194,00011943008,Independent Dealer,IBD,"Ameriprise Financial Services, Inc.",
0052918,272,1567450,15674502359,National Broker-Dealer,NACS,Merrill Lynch,
0053148,273,1567450,15674503968,National Broker-Dealer,NACS,Merrill Lynch,
0053307,274,1688552,16885520191,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0053380,275,9000193,85101151833386437689,Independent Dealer,IBD,"American Portfolios Financial Services, Inc.",
0053409,276,1567450,15674500156,National Broker-Dealer,NACS,Merrill Lynch,
0053438,277,1735461,85102140455263977452,Independent Dealer,IBD,Raymond James & Associates Inc.,
0053469,278,1688552,16885521173,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0053492,279,0013129,00131298045,Independent Dealer,IBD,"Infinex Investments, Inc.",
0054303,280,9000166,85202132395712213903,Independent Dealer,NACS,Wells Fargo Advisors,
0054676,281,1567450,15674500261,National Broker-Dealer,NACS,Merrill Lynch,
0055329,282,1567450,15674500018,National Broker-Dealer,NACS,Merrill Lynch,
0055363,283,1688552,16885521139,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0055444,284,1948520,85102110134734087192,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0055563,285,1948520,19485201035,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0055565,286,1948520,17993101488,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0055621,287,1471422,1471422A0EF,Independent Dealer,IBD,Edward Jones,
0055744,288,1174280,85102160644534600126,Independent Dealer,IBD,D.A. Davidson & Co. Inc.,
0055896,289,1526125,85202150686317304322,Dual,RIA,Lincoln Investment Planning,
0056157,290,1036815,85102132314115368121,Independent Dealer,IBD,"Woodbury Financial Services, Inc.",
0056454,291,9000027,90000270083,Independent Dealer,IBD,TFS Securities Inc.,
0056498,292,1080050,85101142723797847390,Bank/Trust,IBD,Cetera Investment Services LLC,
0056530,293,1171547,11715471029,Independent Dealer,NACS,RBC Wealth Management,
0056694,294,0005661,00056610001,Independent Dealer,IBD,Cresap Inc.,
0056792,295,1152749,85201163265539099621,Independent Dealer,IBD,Commonwealth Financial Network,
0056855,296,1948520,17993100037,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0056872,297,1567450,15674500160,National Broker-Dealer,NACS,Merrill Lynch,
0056879,298,9000166,90001663897,Independent Dealer,NACS,Wells Fargo Advisors,
0057019,299,9000166,90001663626,Independent Dealer,NACS,Wells Fargo Advisors,
0057033,300,0002096,85102161735644977993,Independent Dealer,IBD,"Raymond James Financial Services, Inc.",
0057324,301,1816025,18160250636,Independent Dealer,IBD,"Stifel, Nicolaus & Co., Inc.",
0057332,302,1567450,15674502038,National Broker-Dealer,NACS,Merrill Lynch,
0057334,303,1948520,17993101096,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0057338,304,0002096,00020962386,Independent Dealer,IBD,"Raymond James Financial Services, Inc.",
0057350,305,1171547,11715470577,Independent Dealer,NACS,RBC Wealth Management,
0057441,306,1567450,15674501053,National Broker-Dealer,NACS,Merrill Lynch,
0057460,307,1688552,16885521090,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0057722,308,1688552,16885522335,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0057767,309,0002096,00020962826,Independent Dealer,IBD,"Raymond James Financial Services, Inc.",
0057856,310,1688552,16885520132,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0057886,311,1948520,19485208001,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0057940,312,1567450,85102170244450006349,National Broker-Dealer,NACS,Merrill Lynch,
0058602,313,9000166,90001661223,Independent Dealer,NACS,Wells Fargo Advisors,
0058672,314,1777760,85102170854028806257,Discount,IBD,"Scottrade, Inc.",
0059288,315,9000166,90001663715,Independent Dealer,NACS,Wells Fargo Advisors,
0059334,316,1076974,13639700958,Independent Dealer,IBD,Robert W. Baird & Co. Inc.,
