CONTACT_ID,sales_12M,new_Fund_added_12M,refresh_date
0069415,23179.525,2,12/31/2019
85101170224243687391,,,12/31/2019
0294788,,,12/31/2019
4439954,,,12/31/2019
4324983,,,12/31/2019
00872121366851868601,758.79,1,12/31/2019
4407969,,,12/31/2019
4417987,170000,,12/31/2019
85202140435056378847,957446.05,1,12/31/2019
4388825,152015.845,,12/31/2019
85102133535417285692,,,12/31/2019
4435539,409604.0956,1,12/31/2019
10761180223631912371,108739.8383,5,12/31/2019
10761181504060599160,,,12/31/2019
10761191475197758919,19054.2,1,12/31/2019
4357674,161980.12,,12/31/2019
0355426,,,12/31/2019
0332333,55000,,12/31/2019
85102141253355544410,,,12/31/2019
85201170844034088914,1269.850226,1,12/31/2019
85102150803921684175,,,12/31/2019
4383526,398330.895,,12/31/2019
0022644,,,12/31/2019
0309248,,,12/31/2019
85201150273500132630,58155,,12/31/2019
0101126,,,12/31/2019
85101162775067434514,,,12/31/2019
4337047,43995.57,,12/31/2019
85102132583905846974,37109.53,1,12/31/2019
85101123034084051694,142003.5,1,12/31/2019
85101162044059851703,45141.735,,12/31/2019
0025519,,,12/31/2019
0354204,,,12/31/2019
85201121112951677594,,,12/31/2019
85102141713574450209,,,12/31/2019
4482955,,,12/31/2019
4496588,,,12/31/2019
4498420,25202.1,,12/31/2019
85201142933349964509,198.84,1,12/31/2019
4454065,,,12/31/2019
4354858,955493.315,10,12/31/2019
85102112524632337592,,,12/31/2019
4497048,,,12/31/2019
0342035,,,12/31/2019
0057767,,,12/31/2019
0209041,172475.5,,12/31/2019
85101121375963482466,,,12/31/2019
85201112192864989884,,,12/31/2019
85102112166080334692,309777,4,12/31/2019
4329548,266100,2,12/31/2019
85102151337605938476,,,12/31/2019
85101113803760346721,184845.07,,12/31/2019
0289959,,,12/31/2019
0025244,,,12/31/2019
0240323,,,12/31/2019
8000672,,,12/31/2019
85201120242641738060,219329.985,1,12/31/2019
0236050,825114.2446,1,12/31/2019
85102140445117910895,,,12/31/2019
10751192424599887808,50000,1,12/31/2019
4454905,229000,,12/31/2019
85102122663007161006,,,12/31/2019
4348235,,,12/31/2019
85102142504160584479,,,12/31/2019
0285010,27167.925,1,12/31/2019
0013097,,,12/31/2019
0221612,2038.76,,12/31/2019
10751192815129164234,,,12/31/2019
10751192783875485002,26465,3,12/31/2019
85201160503560925167,192752.25,,12/31/2019
10761182754740844293,,,12/31/2019
0089022,12027.2,,12/31/2019
0339341,623048.36,2,12/31/2019
85202150265243900552,12569.12721,1,12/31/2019
0094552,,,12/31/2019
0046603,395126.11,2,12/31/2019
1647577,15775.88,,12/31/2019
85202141725075762897,30871.31,4,12/31/2019
0018207,,,12/31/2019
0286080,,,12/31/2019
0286171,5034486.13,,12/31/2019
10761193225106456988,400,1,12/31/2019
0339286,106907.08,,12/31/2019
85202131034782400544,,,12/31/2019
10761181854526236151,,,12/31/2019
4325951,467211.01,1,12/31/2019
1723212,5378.19,,12/31/2019
4355778,50000,1,12/31/2019
4328041,,,12/31/2019
0044164,34823.315,,12/31/2019
85202132723707421712,25350.6,1,12/31/2019
85202141753483528371,32207.55,1,12/31/2019
4456830,,,12/31/2019
4395182,,,12/31/2019
4357170,25945.9,,12/31/2019
4318644,18320.51,,12/31/2019
4309523,,,12/31/2019
0189236,4713.305,,12/31/2019
4457634,388086.395,,12/31/2019
10761180748052785444,3210444,,12/31/2019
10761171745220352498,,,12/31/2019
4340047,,,12/31/2019
0179331,,,12/31/2019
0303697,695.62,,12/31/2019
85202151053766178486,1000,1,12/31/2019
85201110334620965445,383714.945,3,12/31/2019
10751182975261752529,,,12/31/2019
4429967,,,12/31/2019
85101142963569311412,9617.44,,12/31/2019
4500278,,,12/31/2019
10751181135497192312,4569.88,,12/31/2019
4300261,,,12/31/2019
85102140563798240162,,,12/31/2019
0125537,,,12/31/2019
4489339,,,12/31/2019
4475224,,,12/31/2019
0306181,,,12/31/2019
4384426,,,12/31/2019
4385069,,,12/31/2019
0034421,,,12/31/2019
4495628,,,12/31/2019
0344479,403761.3498,1,12/31/2019
85102112043286426212,,,12/31/2019
4432060,72.41,2,12/31/2019
4339835,80000,1,12/31/2019
0342233,,,12/31/2019
10761192515412739919,,,12/31/2019
85201132655783123382,,,12/31/2019
85202130244325811949,,,12/31/2019
85202160663971042365,,,12/31/2019
85201163115168723395,,,12/31/2019
0357222,,,12/31/2019
0007852,144274.885,1,12/31/2019
4471174,144764.45,1,12/31/2019
0357715,,,12/31/2019
10761181424516067257,5756,1,12/31/2019
0300195,,,12/31/2019
85201111623904240247,,,12/31/2019
4449427,22000,,12/31/2019
